ad_bid_1,ad_bid_2,ad_bid_3,ad_bid_4,ad_bid_5
31.836816032327,63.791440123326005,71.64646439621899,74.77818331465522,57.9999820131663
80.07686996689714,31.432638699681295,50.24686033010329,77.6356226027652,38.17185847092605
53.28974072597402,70.44941906262082,83.44683520376866,83.77847856104641,87.30486643468265
50.77986982253967,83.51743799024393,89.19477509468075,43.77171835234538,69.86260982053099
41.671165341373836,44.53212911498765,75.89700154505597,86.12423315073683,29.932143267160892
82.457167245085,42.80258838391382,98.62572976963398,83.84663841984253,42.6755002455369
26.329009984711995,69.89143182043915,23.481689483515304,53.38142962879909,70.75980735290273
54.48849088155127,14.6832818452697,26.005749855534756,42.51995852034579,69.07859788316881
21.59857446176537,25.853124568718442,33.335592865640365,55.40147170004164,80.80968422355906
81.06976201163562,92.45482291895702,89.61736280368784,81.33253598349341,96.7206400840342
